Project ID,Project Name,Has Client API,Source Script,Detailed Operation

 --total 20 projects--

1,Focal CRM FP,Yes (API),FocalCrmService.php,"Hits FocalAgent API (https://api.focalagent.com/supplier-enhancement/v3/jobs) using a Subscription Key to fetch 'Propertyvision' floorplan orders. Inserts into 'project_1_orders' and 'job_detail_1_images' tables."
2,Focal PB FP,Yes (Scraper),FocalPb2ScraperService.php,"Scrapes portal (https://fa-pb2-floor-plan-app-web-prod.azurewebsites.net) using login focal.matterport@benchmarkstudio.biz. Extracts PropertyVision orders and inserts into 'project_2_orders'."
3,Focal MP FP,Yes (Scraper),ScrapeMatterport.php,"Scrapes Matterport portal for 3D scans and floorplan jobs. Inserts data into 'project_2_orders' (assigned to Project 3 internally)."
5,UK Focal Xactimate,Yes (Scraper),FocalXactimateScraperService.php,"Scrapes the exact same portal as PB FP (fa-pb2-floor-plan...) but specifically targets Xactimate orders. Inserts into 'project_5_orders'."
6,Aus Metro Xactimate,Yes (API),MetroExecutiveImportService.php,"Uses an external API script to fetch Metro Xactimate jobs and inserts them into 'project_6_orders'."
12,SA FP,Yes (API),SaFPImportService.php,"Hits Base44 Diary Booking API (https://diary-booking-assistant-4f2ee1a4.base44.app/api/functions/processorTasksJson) specifically for processor_id=11441. Inserts into 'project_12_orders'."
13,Metro FP,Yes (API),MetroExecutiveImportService.php,"Similar to Project 6, imports Metro FloorPlan orders."
15,Roomio FP,Yes (API),RoomioImportService.php,"Fetches data from an external Roomio client API endpoint."
17,BR Photos,Yes (API),BrPhotoService.php,"Hits eHouse API (https://ems-processing.ehouse.co.uk/Orders/GetMyOrders) using a Microsoft Azure AD OAuth token. Inserts into 'project_17_orders'."
19,SA Photos,Yes (API),SaPhotoService.php,"Hits Base44 Diary Booking API (https://diary-booking-assistant-4f2ee1a4.base44.app/api/functions/processorTasksJson) specifically for processor_id=6284. Inserts into 'project_19_orders'."
22,Focal CRM Photos,Yes (API),FocalCrmPhotoService.php,"Fetches PH_2_LAYER and other photo jobs from FocalAgent CRM API. Inserts into 'project_22_orders'."
24,Focal PB Photos,Yes (Scraper),FocalPbPhotoScraperService.php,"Scrapes the PropertyVision portal specifically for photography orders."
25,RAW Prestige,Yes (API),FocalCrmPrestigeService.php,"Fetches RAW Prestige Photography jobs from FocalAgent CRM API. Inserts into 'project_25_orders'."
26,Focal RTV,Yes (API),FocalRtvService.php,"Hits FocalAgent API (https://api.focalagent.com/fesp-int/v3/jobs) using Client Secret & Sub Key. Filters specifically for 'Photography' tasks and inserts into 'project_26_orders' and 'job_detail_26_images'."
27,Faro,Yes (API),FaroImportService.php,"Fetches 3D scan and floorplan orders from Faro API. Inserts into 'project_27_orders'."
49,Metro Photos,Yes (API),MetroExecutiveImportService.php,"Imports Metro Photo orders via API."
52,Focal AI,Yes (API),FocalAiImportService.php,"Fetches AI-based editing/processing tasks from Focal AI API."
55,iGUIDE,Yes (API),IGuideImportService.php,"Fetches 3D tour jobs from iGUIDE portal API. Inserts into 'project_55_orders'."
56,Realsee,Yes (API),RealseeImportService.php,"Fetches jobs from Realsee API. Inserts into 'project_56_orders'."
57,SA Video,Yes (API),SaVideoService.php,"Hits Base44 Diary Booking API (https://diary-booking-assistant-4f2ee1a4.base44.app/api/functions/processorTasksJson) specifically for processor_id=11420. Inserts into 'project_57_orders'."

-- total 18 projects --

4,Schematic FP,No,-,"Standalone project. No automated scraping or external API integration exists in the backend for this project."
7,GF FP,No,-,"Standalone project. No automated external fetch."
8,Single FP,No,-,"Standalone project. No automated external fetch."
9,CAD FP,No,-,"Standalone project. No automated external fetch."
10,Code FP,No,-,"Standalone project. No automated external fetch."
11,BR FP,No,-,"Standalone project. No automated external fetch."
14,AUS Others FP,No,-,"Standalone project. No automated external fetch."
16,Cubi FP,No,-,"Standalone project. No automated external fetch."
20,Code Photos,No,-,"Standalone project. No automated external fetch."
21,Single Photos,No,-,"Standalone project. No automated external fetch."
42,HSA FP,No,-,"Standalone project. No automated external fetch."
46,Canada,No,-,"Standalone project. No automated external fetch."
47,Single HDR,No,-,"Standalone project. No automated external fetch."
48,GF PHOTO,No,-,"Standalone project. No automated external fetch."
50,HSA PHOTOS,No,-,"Standalone project. No automated external fetch."
51,ESoft Photo's,No,-,"Standalone project. No automated external fetch."
53,JH PHOTOS,No,-,"Standalone project. No automated external fetch."
54,Scan PHOTO,No,-,"Standalone project. No automated external fetch."
